_type,url,date,text,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1427375227101659136,2021-08-16 21:02:28+00:00,My statement on Afghanistan: https://t.co/NmIYKZLI7x,My statement on Afghanistan: https://t.co/NmIYKZLI7x,1.43E+18,Romney,1698,1366,9905,307,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E88OM9NXMAUA0cG?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E88OM9NXMAUA0cG?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1427347013318975491,2021-08-16 19:10:21+00:00,"We must, must evacuate our Afghan partners. The President must fully commit to this and make clear to the Taliban that impeding such will be met with full military force.","We must, must evacuate our Afghan partners. The President must fully commit to this and make clear to the Taliban that impeding such will be met with full military force.",1.43E+18,Romney,794,679,7219,123,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1426969856805588994,2021-08-15 18:11:40+00:00,https://t.co/OlmvfC8gKV,https://t.co/OlmvfC8gKV,1.43E+18,Romney,1679,694,6174,346,1.43E+18,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E82dhYOXMAAVSch?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E82dhYOXMAAVSch?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1426658988091973633,2021-08-14 21:36:23+00:00,"I understand but disagree with those who felt we should leave Afghanistan; I cannot understand why it has been done with such tragic human cost; without an effective strategy to defend our partners; and with inestimable shock to our nation’s credibility, reliability, and honor.","I understand but disagree with those who felt we should leave Afghanistan; I cannot understand why it has been done with such tragic human cost; without an effective strategy to defend our partners; and with inestimable shock to our nation’s credibility, reliability, and honor.",1.43E+18,Romney,3058,1970,14305,484,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1425970600586190855,2021-08-13 00:00:59+00:00,"America must not stand idly by as our Afghan friends are brutalized by the Taliban. For honor, for meaning of lives lost, and for simple humanity, the President must urgently rush to defend, rescue, and give and expand asylum. There is no time to spare.","America must not stand idly by as our Afghan friends are brutalized by the Taliban. For honor, for meaning of lives lost, and for simple humanity, the President must urgently rush to defend, rescue, and give and expand asylum. There is no time to spare.",1.43E+18,Romney,3363,980,7375,660,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1422215584801042440,2021-08-02 15:19:53+00:00,"If COVID with variants becomes a multi-year reality, we (the @US_FDA) will need to move even faster to approve boosters and vaccines—especially if they are already tested and approved in other countries, as with the booster given today in Israel.","If COVID with variants becomes a multi-year reality, we (the @US_FDA) will need to move even faster to approve boosters and vaccines—especially if they are already tested and approved in other countries, as with the booster given today in Israel.",1.42E+18,Romney,534,662,6984,119,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'US_FDA', 'id': 208120290, 'displayname': 'U.S. FDA', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/US_FDA'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1420447556425895939,2021-07-28 18:14:22+00:00,Being pro-life doesn’t just mean advocating and protecting the unborn. I also care deeply for the living and don’t want more people to die from #COVID19. Everyone that is able should get the vaccine: https://t.co/86Scu6N5nV,Being pro-life doesn’t just mean advocating and protecting the unborn. I also care deeply for the living and don’t want more people to die from #COVID19. Everyone that is able should get the vaccine: cdc.gov/coronavirus/20…,1.42E+18,Romney,371,963,8265,121,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://www.cdc.gov/coronavirus/2019-ncov/vaccines/How-Do-I-Get-a-COVID-19-Vaccine.html'],['https://t.co/86Scu6N5nV'],,,,,,,,,['COVID19'],
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1420162496002936843,2021-07-27 23:21:39+00:00,"I love and admire Simone Biles and our Olympians. Beyond their determination and sacrifice, they evidence the greatness of the human spirit, in victory and in defeat. I take pride in them, not so much for the medals they win as for the grace, humanity &amp; character of their hearts.","I love and admire Simone Biles and our Olympians. Beyond their determination and sacrifice, they evidence the greatness of the human spirit, in victory and in defeat. I take pride in them, not so much for the medals they win as for the grace, humanity &amp; character of their hearts.",1.42E+18,Romney,1784,5522,86038,540,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1412454883693838342,2021-07-06 16:54:21+00:00,Lanhee is a brilliant man of integrity. California couldn’t find a better Controller. https://t.co/wP8fgQyhUD,Lanhee is a brilliant man of integrity. California couldn’t find a better Controller. twitter.com/lanheechen/sta…,1.41E+18,Romney,111,55,510,11,1.41E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/lanheechen/status/1412434582100643840'],['https://t.co/wP8fgQyhUD'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/lanheechen/status/1412434582100643840', 'date': '2021-07-06T15:33:40+00:00', 'content': 'I’m excited to announce my campaign for CA State Controller. We need a fighter as Controller who will be a check on the one-party monopoly in Sacramento, expose fraud &amp; waste in government, &amp; ensure we can account for every penny our state spends. Join me! https://t.co/8MiPWSWL6I', 'renderedContent': 'I’m excited to announce my campaign for CA State Controller. We need a fighter as Controller who will be a check on the one-party monopoly in Sacramento, expose fraud &amp; waste in government, &amp; ensure we can account for every penny our state spends. Join me! bit.ly/3yubu3m', 'id': 1412434582100643840, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'lanheechen', 'id': 87048122, 'displayname': 'Lanhee J. Chen', 'description': 'Husband and Dad. Candidate for California State Controller. Public policy leader, problem-solver, and educator.', 'rawDescription': 'Husband and Dad. Candidate for California State Controller. Public policy leader, problem-solver, and educator.', 'descriptionUrls': None, 'verified': True, 'created': '2009-11-02T22:39:00+00:00', 'followersCount': 20654, 'friendsCount': 999, 'statusesCount': 1868, 'favouritesCount': 2008, 'listedCount': 492, 'mediaCount': 104, 'location': 'Bay Area, CA', 'protected': False, 'linkUrl': 'https://chenforcalifornia.com/', 'linkTcourl': 'https://t.co/667aSs2eHH', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1412418747692879874/SGwkOVL__normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/87048122/1625581846', 'url': 'https://twitter.com/lanheechen'}, 'replyCount': 84, 'retweetCount': 197, 'likeCount': 1002, 'quoteCount': 50, 'conversationId': 1412434582100643840, 'lang': 'en', 'source': '<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>', 'sourceUrl': 'https://sproutsocial.com', 'sourceLabel': 'Sprout Social', 'outlinks': ['https://bit.ly/3yubu3m'], 'tcooutlinks': ['https://t.co/8MiPWSWL6I'], 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MittRomney/status/1412129243417518082,2021-07-05 19:20:22+00:00,Celebrating the 4th with my family—nothing better! https://t.co/RWfMvVWunJ,Celebrating the 4th with my family—nothing better! https://t.co/RWfMvVWunJ,1.41E+18,Romney,239,92,5632,20,1.41E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E5jkDNHWQAAsojq?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E5jkDNHWQAAsojq?format=jpg&name=large'}, {'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E5jkDNFWYAA3vxe?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E5jkDNFWYAA3vxe?format=jpg&name=large'}, {'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E5jkDNFXwAAMt2y?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E5jkDNFXwAAMt2y?format=jpg&name=large'}, {'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E5jkDNHWUAEFivz?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E5jkDNHWUAEFivz?format=jpg&name=large'}]",,,,,,,,,
